STEMMING,tokenized_sents,polarity_score,polarity
alih cirebon kabupaten timur laut jawa barat milik anggar berantas miskin 115m nmn 4m anggar untuk perjalann dinas 115m bayang individu bansos kab cirebon 5 daerah miskin jabar https t co vdiygfmi5e,"['alih', 'cirebon', 'kabupaten', 'timur', 'laut', 'jawa', 'barat', 'milik', 'anggar', 'berantas', 'miskin', '115m', 'nmn', '4m', 'anggar', 'untuk', 'perjalann', 'dinas', '115m', 'bayang', 'individu', 'bansos', 'kab', 'cirebon', '5', 'daerah', 'miskin', 'jabar', 'https', 't', 'co', 'vdiygfmi5e']",2,1
hasil cak achmadfauzi wy pimpin sumenep salah satu turun angka miskin turun angka miskin tinggi jawa timur wujud anggur rendah jawa timur https t co cin3qyg7so,"['hasil', 'cak', 'achmadfauzi', 'wy', 'pimpin', 'sumenep', 'salah', 'satu', 'turun', 'angka', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'wujud', 'anggur', 'rendah', 'jawa', 'timur', 'https', 't', 'co', 'cin3qyg7so']",-19,-1
jawa timur angka nikah anak tingkat pandemi impi kubur miskin subur korban putus sekolah kawin anak jawa timur https t co c4zy8ydayt,"['jawa', 'timur', 'angka', 'nikah', 'anak', 'tingkat', 'pandemi', 'impi', 'kubur', 'miskin', 'subur', 'korban', 'putus', 'sekolah', 'kawin', 'anak', 'jawa', 'timur', 'https', 't', 'co', 'c4zy8ydayt']",-11,-1
1 762 pasang suami istri bojonegoro jawa timur aju cerai adil agama tinggi tingkat cerai sebab faktor miskin didik rendah bib inews news berita suamiistri cerai miskin pendidikanrendah bojonegoro https t co qzd9wkk2yo,"['1', '762', 'pasang', 'suami', 'istri', 'bojonegoro', 'jawa', 'timur', 'aju', 'cerai', 'adil', 'agama', 'tinggi', 'tingkat', 'cerai', 'sebab', 'faktor', 'miskin', 'didik', 'rendah', 'bib', 'inews', 'news', 'berita', 'suamiistri', 'cerai', 'miskin', 'pendidikanrendah', 'bojonegoro', 'https', 't', 'co', 'qzd9wkk2yo']",-33,-1
tangan khofifah indar parawansa angka miskin jawa timur turun https t co r3n88z7j66,"['tangan', 'khofifah', 'indar', 'parawansa', 'angka', 'miskin', 'jawa', 'timur', 'turun', 'https', 't', 'co', 'r3n88z7j66']",-6,-1
jawa provinsi miskin jawa jateng jawa barat jawa timur ganjar pranowo paham solusi blusukan angka miskin turun 1 juta jakarta 102 ribu harijadijateng https t co mmzranjdgo,"['jawa', 'provinsi', 'miskin', 'jawa', 'jateng', 'jawa', 'barat', 'jawa', 'timur', 'ganjar', 'pranowo', 'paham', 'solusi', 'blusukan', 'angka', 'miskin', 'turun', '1', 'juta', 'jakarta', '102', 'ribu', 'harijadijateng', 'https', 't', 'co', 'mmzranjdgo']",-5,-1
mari tunai sedekah dukung baznas provinsi jawa timur tunjang program entas miskin baznas baznasjatim sedekah sedekahjariyah sedekahjumat jumatberkah amaljariyah https t co mfsoc1pi7e,"['mari', 'tunai', 'sedekah', 'dukung', 'baznas', 'provinsi', 'jawa', 'timur', 'tunjang', 'program', 'entas', 'miskin', 'baznas', 'baznasjatim', 'sedekah', 'sedekahjariyah', 'sedekahjumat', 'jumatberkah', 'amaljariyah', 'https', 't', 'co', 'mfsoc1pi7e']",8,1
buzzer ganjen relevan putar kaset rakyat rakyat jawa rasa jalan rusak akses sehat minim miskin cekik https t co gbfkls7hbj,"['buzzer', 'ganjen', 'relevan', 'putar', 'kaset', 'rakyat', 'rakyat', 'jawa', 'rasa', 'jalan', 'rusak', 'akses', 'sehat', 'minim', 'miskin', 'cekik', 'https', 't', 'co', 'gbfkls7hbj']",-6,-1
stefanantonio miduk17 aryprasetyo85 03 nakula ch chotimah2 drpullmanrogers firzahusainid ganjarpranowo gunromli seruanhl yuliadi mr kasihan ebong hibur tahun miskin dijawa turun presentase miskin dijawa banding jawa barat jawa timur,"['stefanantonio', 'miduk17', 'aryprasetyo85', '03', 'nakula', 'ch', 'chotimah2', 'drpullmanrogers', 'firzahusainid', 'ganjarpranowo', 'gunromli', 'seruanhl', 'yuliadi', 'mr', 'kasihan', 'ebong', 'hibur', 'tahun', 'miskin', 'dijawa', 'turun', 'presentase', 'miskin', 'dijawa', 'banding', 'jawa', 'barat', 'jawa', 'timur']",-11,-1
problematika daerah madura dari yang melek catat sampang bahwa 217 970 duduk dalam zona miskin yang parah hasil naik sampang dalam kabupaten miskin jawa timur https t co p19r6rkv5u,"['problematika', 'daerah', 'madura', 'dari', 'yang', 'melek', 'catat', 'sampang', 'bahwa', '217', '970', 'duduk', 'dalam', 'zona', 'miskin', 'yang', 'parah', 'hasil', 'naik', 'sampang', 'dalam', 'kabupaten', 'miskin', 'jawa', 'timur', 'https', 't', 'co', 'p19r6rkv5u']",-18,-1
problematika daerah madura dari yang melek catat sampang bahwa 217 970 duduk dalam zona miskin yang parah hasil naik sampang dalam kabupaten miskin jawa timur https t co pbdq0v5oxj,"['problematika', 'daerah', 'madura', 'dari', 'yang', 'melek', 'catat', 'sampang', 'bahwa', '217', '970', 'duduk', 'dalam', 'zona', 'miskin', 'yang', 'parah', 'hasil', 'naik', 'sampang', 'dalam', 'kabupaten', 'miskin', 'jawa', 'timur', 'https', 't', 'co', 'pbdq0v5oxj']",-18,-1
arah prabowo subianto gerindra komitmen entas miskin jawa timur jokowinomics https t co ohwdlzje0d,"['arah', 'prabowo', 'subianto', 'gerindra', 'komitmen', 'entas', 'miskin', 'jawa', 'timur', 'jokowinomics', 'https', 't', 'co', 'ohwdlzje0d']",-8,-1
2023 data media yang jadi bps rujuk sumber data angka miskin provinsi jawa barat 7 26 jawa timur 10 35 jawa 10 77 https t co wxqjlo1df2,"['2023', 'data', 'media', 'yang', 'jadi', 'bps', 'rujuk', 'sumber', 'data', 'angka', 'miskin', 'provinsi', 'jawa', 'barat', '7', '26', 'jawa', 'timur', '10', '35', 'jawa', '10', '77', 'https', 't', 'co', 'wxqjlo1df2']",-17,-1
wakil gubernur jawa timur emil dardak ajak pemuda tukar pikir atas miskin ekonomi tokohmuda emildardak wagubjatim jawatimur berita news trending dkijakarta emildardak4jakarta jakarta emildardakuntukdki emildardakpulangjakarta https t co gfhkgdynev,"['wakil', 'gubernur', 'jawa', 'timur', 'emil', 'dardak', 'ajak', 'pemuda', 'tukar', 'pikir', 'atas', 'miskin', 'ekonomi', 'tokohmuda', 'emildardak', 'wagubjatim', 'jawatimur', 'berita', 'news', 'trending', 'dkijakarta', 'emildardak4jakarta', 'jakarta', 'emildardakuntukdki', 'emildardakpulangjakarta', 'https', 't', 'co', 'gfhkgdynev']",-14,-1
10 228 unit rumah kabupaten ngawi jawa timur kategori layak huni rtlh salah faktor banyak rumah layak huni sebab tinggi angka miskin ngawi huni rumah taklayakhuni peristiwangawi https t co wf8oqcos5v,"['10', '228', 'unit', 'rumah', 'kabupaten', 'ngawi', 'jawa', 'timur', 'kategori', 'layak', 'huni', 'rtlh', 'salah', 'faktor', 'banyak', 'rumah', 'layak', 'huni', 'sebab', 'tinggi', 'angka', 'miskin', 'ngawi', 'huni', 'rumah', 'taklayakhuni', 'peristiwangawi', 'https', 't', 'co', 'wf8oqcos5v']",-28,-1
koperasi harap tekan kantong miskin jawa timur emil dardak wagubjatim emildardak pemprovjatim koperasi alternative kurang kemiskinanekstrem jawatimur https t co jpsaaq1j82,"['koperasi', 'harap', 'tekan', 'kantong', 'miskin', 'jawa', 'timur', 'emil', 'dardak', 'wagubjatim', 'emildardak', 'pemprovjatim', 'koperasi', 'alternative', 'kurang', 'kemiskinanekstrem', 'jawatimur', 'https', 't', 'co', 'jpsaaq1j82']",-9,-1
lihat indo 5 kerja banding status jabat yang jawa banding dengan jawa timur jawa barat pr ganjar miskin kondisi jalan tingkat gizi dan lain,"['lihat', 'indo', '5', 'kerja', 'banding', 'status', 'jabat', 'yang', 'jawa', 'banding', 'dengan', 'jawa', 'timur', 'jawa', 'barat', 'pr', 'ganjar', 'miskin', 'kondisi', 'jalan', 'tingkat', 'gizi', 'dan', 'lain']",-14,-1
mari sedekah dukung baznas provinsi jawa timur tunjang program entas miskin tunai sedekah transfer rekening tera layan muzakki amp munfiq https t co hisxmwcro3 sedekah sedekahjumat jumatberkah https t co tngsegueie,"['mari', 'sedekah', 'dukung', 'baznas', 'provinsi', 'jawa', 'timur', 'tunjang', 'program', 'entas', 'miskin', 'tunai', 'sedekah', 'transfer', 'rekening', 'tera', 'layan', 'muzakki', 'amp', 'munfiq', 'https', 't', 'co', 'hisxmwcro3', 'sedekah', 'sedekahjumat', 'jumatberkah', 'https', 't', 'co', 'tngsegueie']",8,1
emil dardak koperasi harap tekan kantong miskin jawa timur sigara bbnaijas8xguinness bbnaija earthquake aewdynamite aewdynamite treasurereboot boycottcostacoffee https t co afkxacog83,"['emil', 'dardak', 'koperasi', 'harap', 'tekan', 'kantong', 'miskin', 'jawa', 'timur', 'sigara', 'bbnaijas8xguinness', 'bbnaija', 'earthquake', 'aewdynamite', 'aewdynamite', 'treasurereboot', 'boycottcostacoffee', 'https', 't', 'co', 'afkxacog83']",-6,-1
emil dardak koperasi harap tekan kantong miskin jawa timur emildardak wagubjatim arumibachsin wagubemil infojatim jawatimur jatim beritajatim kabarjatim dkijakarta jakarta https t co xqydhhvbe1,"['emil', 'dardak', 'koperasi', 'harap', 'tekan', 'kantong', 'miskin', 'jawa', 'timur', 'emildardak', 'wagubjatim', 'arumibachsin', 'wagubemil', 'infojatim', 'jawatimur', 'jatim', 'beritajatim', 'kabarjatim', 'dkijakarta', 'jakarta', 'https', 't', 'co', 'xqydhhvbe1']",-6,-1
fraksi gerindra dprd jatim komitmen bantu gubernur khofifah entas miskin jawa timur https t co y9gxdddr9l prabowo prabowounggul https t co odnsu5dwjr,"['fraksi', 'gerindra', 'dprd', 'jatim', 'komitmen', 'bantu', 'gubernur', 'khofifah', 'entas', 'miskin', 'jawa', 'timur', 'https', 't', 'co', 'y9gxdddr9l', 'prabowo', 'prabowounggul', 'https', 't', 'co', 'odnsu5dwjr']",-6,-1
workshop sosial anggota dprd jatim bahas miskin global workshop sosial gelar anggota dewan wakil rakyat daerah dprd jawa timur fraksi pdip h gunawan bahas politikpemerintahan globalisasi via beritajatimcom https t co dzblyrbot7,"['workshop', 'sosial', 'anggota', 'dprd', 'jatim', 'bahas', 'miskin', 'global', 'workshop', 'sosial', 'gelar', 'anggota', 'dewan', 'wakil', 'rakyat', 'daerah', 'dprd', 'jawa', 'timur', 'fraksi', 'pdip', 'h', 'gunawan', 'bahas', 'politikpemerintahan', 'globalisasi', 'via', 'beritajatimcom', 'https', 't', 'co', 'dzblyrbot7']",0,0
kali muhadjir effendy turun malang jawa timur miskin esktrim bravo muhadjir ef https t co ad2r69f4it,"['kali', 'muhadjir', 'effendy', 'turun', 'malang', 'jawa', 'timur', 'miskin', 'esktrim', 'bravo', 'muhadjir', 'ef', 'https', 't', 'co', 'ad2r69f4it']",-12,-1
emil dardak koperasi harap tekan kantong miskin jatim wakil gubernur emil dardak koperasi harap tekan angka miskin jawa timur ekbis angkakemiskinanjatim jember via beritajatimcom https t co wbna6xxokn,"['emil', 'dardak', 'koperasi', 'harap', 'tekan', 'kantong', 'miskin', 'jatim', 'wakil', 'gubernur', 'emil', 'dardak', 'koperasi', 'harap', 'tekan', 'angka', 'miskin', 'jawa', 'timur', 'ekbis', 'angkakemiskinanjatim', 'jember', 'via', 'beritajatimcom', 'https', 't', 'co', 'wbna6xxokn']",-13,-1
perintah provinsi jawa timur hasil turun angka miskin indonesia https t co p3zwlrhwcg,"['perintah', 'provinsi', 'jawa', 'timur', 'hasil', 'turun', 'angka', 'miskin', 'indonesia', 'https', 't', 'co', 'p3zwlrhwcg']",-4,-1
jawa barat jawa timur juta duduk miskin jateng 3 9 juta ganjar ganjar pranowo ganjarpresiden2024 sahabatganjar relawanganjar 2024menangtotal jawa jawatengah hoax miskin love ag4ever airindatanglagi,"['jawa', 'barat', 'jawa', 'timur', 'juta', 'duduk', 'miskin', 'jateng', '3', '9', 'juta', 'ganjar', 'ganjar', 'pranowo', 'ganjarpresiden2024', 'sahabatganjar', 'relawanganjar', '2024menangtotal', 'jawa', 'jawatengah', 'hoax', 'miskin', 'love', 'ag4ever', 'airindatanglagi']",-5,-1
gubernur jawa timur khofifah indar parawansa klaim angka miskin wilayah turun fakta angka miskin jatim tinggi nasional 4 19 juta jiwa maret 2023 jawatimur miskin https t co sfnqn09acx,"['gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'klaim', 'angka', 'miskin', 'wilayah', 'turun', 'fakta', 'angka', 'miskin', 'jatim', 'tinggi', 'nasional', '4', '19', 'juta', 'jiwa', 'maret', '2023', 'jawatimur', 'miskin', 'https', 't', 'co', 'sfnqn09acx']",-17,-1
data badan pusat statistik bps jawa timur 2021 angka miskin sumenep capai 20 51 persen pasuk 2022 sisa 18 76 persen angka miskin 20 persen sumenep,"['data', 'badan', 'pusat', 'statistik', 'bps', 'jawa', 'timur', '2021', 'angka', 'miskin', 'sumenep', 'capai', '20', '51', 'persen', 'pasuk', '2022', 'sisa', '18', '76', 'persen', 'angka', 'miskin', '20', 'persen', 'sumenep']",-12,-1
emil dardak koperasi tani jatim bantu atas miskin wakil gubernur jawa timur emil elestianto dardak muka strategi inovatif atas miskin ekstrem politikpemerintahan blitar jatim surabaya via beritajatimcom https t co thafklvdbj,"['emil', 'dardak', 'koperasi', 'tani', 'jatim', 'bantu', 'atas', 'miskin', 'wakil', 'gubernur', 'jawa', 'timur', 'emil', 'elestianto', 'dardak', 'muka', 'strategi', 'inovatif', 'atas', 'miskin', 'ekstrem', 'politikpemerintahan', 'blitar', 'jatim', 'surabaya', 'via', 'beritajatimcom', 'https', 't', 'co', 'thafklvdbj']",-23,-1
perintah provinsi jawa timur klaim hasil turun angka miskin dalma 2 maret 2021 maret 2023 https t co wrjrcsvoym,"['perintah', 'provinsi', 'jawa', 'timur', 'klaim', 'hasil', 'turun', 'angka', 'miskin', 'dalma', '2', 'maret', '2021', 'maret', '2023', 'https', 't', 'co', 'wrjrcsvoym']",-4,-1
jawa timur hasil turun miskin capai tinggi indonesia nasional angkakemiskinan jawatimur miskin https t co l6lwpqgzam https t co ey94kv47o3,"['jawa', 'timur', 'hasil', 'turun', 'miskin', 'capai', 'tinggi', 'indonesia', 'nasional', 'angkakemiskinan', 'jawatimur', 'miskin', 'https', 't', 'co', 'l6lwpqgzam', 'https', 't', 'co', 'ey94kv47o3']",-9,-1
provinsi jawa timur turun angka miskin indonesia provinsi jawa timur turun angka miskin indonesia gubernur jawa timur ragam jawabarat jawatengah jawatimur via beritajatimcom https t co qaaeturlud,"['provinsi', 'jawa', 'timur', 'turun', 'angka', 'miskin', 'indonesia', 'provinsi', 'jawa', 'timur', 'turun', 'angka', 'miskin', 'indonesia', 'gubernur', 'jawa', 'timur', 'ragam', 'jawabarat', 'jawatengah', 'jawatimur', 'via', 'beritajatimcom', 'https', 't', 'co', 'qaaeturlud']",-18,-1
2 cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur 3 wujud anggur rendah jawa timur 4 bawa gin rasio timpang rendah jawa timur https t co i0vbihioov,"['2', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', '3', 'wujud', 'anggur', 'rendah', 'jawa', 'timur', '4', 'bawa', 'gin', 'rasio', 'timpang', 'rendah', 'jawa', 'timur', 'https', 't', 'co', 'i0vbihioov']",-31,-1
madiun https t co wkghpxyppm gubernur jawa timur khofifah indar parawansa ajak bupati walikota stakeholder kait tingkat sinergi turun miskin ekstrim turun stunting signifikan https t co t4wie4enu5 https t co gyeqay2ffx,"['madiun', 'https', 't', 'co', 'wkghpxyppm', 'gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'ajak', 'bupati', 'walikota', 'stakeholder', 'kait', 'tingkat', 'sinergi', 'turun', 'miskin', 'ekstrim', 'turun', 'stunting', 'signifikan', 'https', 't', 'co', 't4wie4enu5', 'https', 't', 'co', 'gyeqay2ffx']",-6,-1
panjianom102 munir timur salah sumber miskin dki banyak migrasi daerah2 salah daerah sumbang migran besar jawa liat lebaran pemprov jateng siapin ratus bis carter ratus gerbong ka untuk warga yang mudik jateng,"['panjianom102', 'munir', 'timur', 'salah', 'sumber', 'miskin', 'dki', 'banyak', 'migrasi', 'daerah2', 'salah', 'daerah', 'sumbang', 'migran', 'besar', 'jawa', 'liat', 'lebaran', 'pemprov', 'jateng', 'siapin', 'ratus', 'bis', 'carter', 'ratus', 'gerbong', 'ka', 'untuk', 'warga', 'yang', 'mudik', 'jateng']",-22,-1
anaklolina2 munir timur bangun fokus jawa sentris republik miskin tidak lepas dari masalah kota era jokowi ubah bangun luar pulau jawa kadrun ubah 5th pimpin dki ubah duduk miskin meninkat,"['anaklolina2', 'munir', 'timur', 'bangun', 'fokus', 'jawa', 'sentris', 'republik', 'miskin', 'tidak', 'lepas', 'dari', 'masalah', 'kota', 'era', 'jokowi', 'ubah', 'bangun', 'luar', 'pulau', 'jawa', 'kadrun', 'ubah', '5th', 'pimpin', 'dki', 'ubah', 'duduk', 'miskin', 'meninkat']",-24,-1
panjianom102 munir timur naik miskin tambah urban duduk daerah jawa yang warga jakarta rubah nasib yang dampak covid bukti lebaran bus gratis mudik mati orang jawa,"['panjianom102', 'munir', 'timur', 'naik', 'miskin', 'tambah', 'urban', 'duduk', 'daerah', 'jawa', 'yang', 'warga', 'jakarta', 'rubah', 'nasib', 'yang', 'dampak', 'covid', 'bukti', 'lebaran', 'bus', 'gratis', 'mudik', 'mati', 'orang', 'jawa']",-17,-1
cak fauzi pimpin muda inovatif kreatif hasil turun miskin turun angka miskin tinggi jawa timur wujud penganguran rendah jawa timur cak fauzi bawa gin rasio timpang rendah jawa timur https t co bo3tnldryc,"['cak', 'fauzi', 'pimpin', 'muda', 'inovatif', 'kreatif', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'wujud', 'penganguran', 'rendah', 'jawa', 'timur', 'cak', 'fauzi', 'bawa', 'gin', 'rasio', 'timpang', 'rendah', 'jawa', 'timur', 'https', 't', 'co', 'bo3tnldryc']",-25,-1
daerah jawa milik angka miskin faktual presentase angka miskin ekstrem wilayah timur ntt papua susun regulasi guna anggar program intervensi cont,"['daerah', 'jawa', 'milik', 'angka', 'miskin', 'faktual', 'presentase', 'angka', 'miskin', 'ekstrem', 'wilayah', 'timur', 'ntt', 'papua', 'susun', 'regulasi', 'guna', 'anggar', 'program', 'intervensi', 'cont']",-6,-1
jawa timur mbuh opo sing ning pikirane khofifah luput miskin nikah kelindan tambah konsumerisma mangtabs,"['jawa', 'timur', 'mbuh', 'opo', 'sing', 'ning', 'pikirane', 'khofifah', 'luput', 'miskin', 'nikah', 'kelindan', 'tambah', 'konsumerisma', 'mangtabs']",-1,-1
angka cerai angka fantastis bojonegoro jawa timur 6 istri gugat cerai suami adil agama kabupaten bojonegoro capai 1 500 orang sebab didik rendah miskin https t co taxuxp0gvt https t co hhjanspz6x,"['angka', 'cerai', 'angka', 'fantastis', 'bojonegoro', 'jawa', 'timur', '6', 'istri', 'gugat', 'cerai', 'suami', 'adil', 'agama', 'kabupaten', 'bojonegoro', 'capai', '1', '500', 'orang', 'sebab', 'didik', 'rendah', 'miskin', 'https', 't', 'co', 'taxuxp0gvt', 'https', 't', 'co', 'hhjanspz6x']",-20,-1
coba periksa data bps statistics jawa timur jabar angka miskin hasil kabupaten sumenep 2022 sisa 18 76 persen bilang turun banding 2021 capai 20 51 persen cakfauzi,"['coba', 'periksa', 'data', 'bps', 'statistics', 'jawa', 'timur', 'jabar', 'angka', 'miskin', 'hasil', 'kabupaten', 'sumenep', '2022', 'sisa', '18', '76', 'persen', 'bilang', 'turun', 'banding', '2021', 'capai', '20', '51', 'persen', 'cakfauzi']",-9,-1
masuk radar bupati kampung yang hasil kikis miskin sumenep fokus belum respons dukung survei2 beliau kader mumpuni jawa timur jatim butuh pimpin sprti beliau moga bu mega rekomen amin https t co zaabrkstzh,"['masuk', 'radar', 'bupati', 'kampung', 'yang', 'hasil', 'kikis', 'miskin', 'sumenep', 'fokus', 'belum', 'respons', 'dukung', 'survei2', 'beliau', 'kader', 'mumpuni', 'jawa', 'timur', 'jatim', 'butuh', 'pimpin', 'sprti', 'beliau', 'moga', 'bu', 'mega', 'rekomen', 'amin', 'https', 't', 'co', 'zaabrkstzh']",-8,-1
well said yunartowijaya angka miskin jawa salah akselerasi turun miskin 2013 jawa cepat banding jawa barat jawa timur ganjaruntuksemua lanjutkanbersamaganjar https t co bevzcg0sjw,"['well', 'said', 'yunartowijaya', 'angka', 'miskin', 'jawa', 'salah', 'akselerasi', 'turun', 'miskin', '2013', 'jawa', 'cepat', 'banding', 'jawa', 'barat', 'jawa', 'timur', 'ganjaruntuksemua', 'lanjutkanbersamaganjar', 'https', 't', 'co', 'bevzcg0sjw']",-16,-1
banyuwangi https t co l1apjgfpc2 masyarakat miskin ekstrim wanita rawan sosial ekonomi wrse banyuwangi perhati khusus juang bantu kewirausahaan dinas sosial provinsi jawa timur https t co kvfg4c2tmp,"['banyuwangi', 'https', 't', 'co', 'l1apjgfpc2', 'masyarakat', 'miskin', 'ekstrim', 'wanita', 'rawan', 'sosial', 'ekonomi', 'wrse', 'banyuwangi', 'perhati', 'khusus', 'juang', 'bantu', 'kewirausahaan', 'dinas', 'sosial', 'provinsi', 'jawa', 'timur', 'https', 't', 'co', 'kvfg4c2tmp']",-3,-1
cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur wujud anggur rendah jawa timur https t co nro2a7fj5p,"['cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'wujud', 'anggur', 'rendah', 'jawa', 'timur', 'https', 't', 'co', 'nro2a7fj5p']",-17,-1
pemkab banyuwangi dinas sosial daya perempuan keluarga rencana dinsos ppkb juang bantu kewirausahaan masyarakat miskin ekstrim wanita rawan sosial ekonomi wrse dinas sosial provinsi jawa timur,"['pemkab', 'banyuwangi', 'dinas', 'sosial', 'daya', 'perempuan', 'keluarga', 'rencana', 'dinsos', 'ppkb', 'juang', 'bantu', 'kewirausahaan', 'masyarakat', 'miskin', 'ekstrim', 'wanita', 'rawan', 'sosial', 'ekonomi', 'wrse', 'dinas', 'sosial', 'provinsi', 'jawa', 'timur']",0,0
lantik kepala dinas sosial jawa timur restu novi widiani gubernur jawa timur khofifah indar parawansa perintah provinsi jatim fokus kerja upaya turun miskin upaya kuat kolaborasi,"['lantik', 'kepala', 'dinas', 'sosial', 'jawa', 'timur', 'restu', 'novi', 'widiani', 'gubernur', 'jawa', 'timur', 'khofifah', 'indar', 'parawansa', 'perintah', 'provinsi', 'jatim', 'fokus', 'kerja', 'upaya', 'turun', 'miskin', 'upaya', 'kuat', 'kolaborasi']",-6,-1
deret hasil toreh cak fauzi pimpin muda inovatif kreatif cak fauzi hasil turun miskin turun angka miskin tinggi jawa timur https t co fqomaavhnk,"['deret', 'hasil', 'toreh', 'cak', 'fauzi', 'pimpin', 'muda', 'inovatif', 'kreatif', 'cak', 'fauzi', 'hasil', 'turun', 'miskin', 'turun', 'angka', 'miskin', 'tinggi', 'jawa', 'timur', 'https', 't', 'co', 'fqomaavhnk']",-4,-1
